,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std,past,future,neurons
0,0.2533369719982147,0.02176625520595678,0.19855647683143615,0.020704149016997662,31.195083999633788,3.1473256349776464,10.0,10.0,10.0
1,0.0750061258673668,0.008613670908705058,0.05701061934232712,0.006203422961542735,10.022337341308594,0.9083876546805516,10.0,10.0,50.0
2,0.08494604378938675,0.02029074497348222,0.06476864814758301,0.016906161375549195,10.613406372070312,2.6250375671040636,10.0,10.0,100.0
3,0.26500544250011443,0.026667857310346533,0.2041935443878174,0.02562669638391026,32.15583877563476,3.981953516513683,10.0,30.0,10.0
4,0.11847488880157471,0.01149641004517606,0.08643283993005753,0.008555863916852926,14.33792610168457,1.167801225405504,10.0,30.0,50.0
5,0.11501407474279404,0.012327848260135922,0.08622364550828934,0.010733784548488678,13.729414367675782,1.82262791545949,10.0,30.0,100.0
6,0.24905014634132386,0.01726790050898354,0.1924872428178787,0.01594244409467507,29.87383117675781,2.7267877650383565,10.0,50.0,10.0
7,0.14348843991756438,0.017842090028853123,0.10526604503393173,0.01238990088035424,17.152889823913576,2.2418900994244906,10.0,50.0,50.0
8,0.12319952249526978,0.014883233468816476,0.09205161035060883,0.013806379400812545,14.515411949157714,1.948386640575285,10.0,50.0,100.0
9,0.30927481055259703,0.022063899303305167,0.25548669397830964,0.02103214896493568,39.30434112548828,3.315963095487599,30.0,10.0,10.0
10,0.12740111649036406,0.026178054520972004,0.09670002907514572,0.01830354123438502,14.887172317504882,2.2711504372592017,30.0,10.0,50.0
11,0.1342963382601738,0.01651574407229588,0.10309426486492157,0.015108287554139102,15.766965675354005,2.415674504137274,30.0,10.0,100.0
12,0.3495867013931274,0.027641942608883238,0.29646705090999603,0.031518489233950966,45.806513977050784,5.262108393923097,30.0,30.0,10.0
13,0.1935481995344162,0.011821222002780395,0.14642851054668427,0.009308675214114463,22.22016143798828,1.5079756027164313,30.0,30.0,50.0
14,0.165933059155941,0.03294667273476631,0.1332888200879097,0.029732494878157628,20.356453132629394,4.628875491373265,30.0,30.0,100.0
15,0.3522707462310791,0.028301399666042427,0.3018788307905197,0.033004416315649425,46.86113510131836,5.545185245697356,30.0,50.0,10.0
16,0.2145938515663147,0.014754282868651675,0.16209774911403657,0.011894489845154097,24.73799285888672,1.5938576145805543,30.0,50.0,50.0
17,0.18461183905601503,0.028893214748317457,0.14455154687166213,0.03046341647898606,21.857948303222656,4.9745210067687875,30.0,50.0,100.0
18,0.33258716464042665,0.029240191437114642,0.28658704161643983,0.03141648421880103,43.24895324707031,5.045985518885774,50.0,10.0,10.0
19,0.1492963120341301,0.024163195410061962,0.11645203977823257,0.018276802041718325,17.57336311340332,2.385560682227652,50.0,10.0,50.0
20,0.1272782176733017,0.0180671167344155,0.09948148727416992,0.01377888795300133,15.220469665527343,1.818002383258124,50.0,10.0,100.0
21,0.34411064982414247,0.007288155088700028,0.29957678318023684,0.005483633365167778,45.17976684570313,0.9322331530576836,50.0,30.0,10.0
22,0.2069572240114212,0.03069882776558042,0.16296287178993224,0.02889362199380717,24.05846710205078,4.175153333696917,50.0,30.0,50.0
23,0.19691363871097564,0.026557992576721357,0.1610186755657196,0.025054770264373683,23.853744888305663,3.6606715594341974,50.0,30.0,100.0
24,0.37961524724960327,0.03324138699799334,0.33843390345573426,0.03481741364734098,51.355238342285155,5.742107390784733,50.0,50.0,10.0
25,0.23188209533691406,0.019006136769980676,0.18133246004581452,0.013939216946303673,26.80504455566406,2.294928379222855,50.0,50.0,50.0
26,0.22608742713928223,0.01450197612900641,0.19130406379699708,0.015410880252924902,28.35735626220703,2.4980756937507587,50.0,50.0,100.0
