,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.07765945047140121,0.06399000436067581,13.714028358459473,0.07917289957404136,0.0031629483248649696,0.06476908214390278,0.0030336590681210103,13.873969650268554,0.5813668695845213
1,0.08153153210878372,0.06824442744255066,14.715073585510254,,,,,,
2,0.08784901350736618,0.0723893940448761,15.209282875061035,,,,,,
3,0.07733406871557236,0.0639868751168251,13.67078685760498,,,,,,
4,0.07890848070383072,0.06400026381015778,13.774871826171875,,,,,,
5,0.07678955793380737,0.06242215260863304,13.43096923828125,,,,,,
6,0.07867443561553955,0.06464745104312897,13.848459243774414,,,,,,
7,0.07731115072965622,0.06186218559741974,13.22021484375,,,,,,
8,0.07833124697208405,0.06349504739046097,13.65920352935791,,,,,,
9,0.07734005898237228,0.06265302002429962,13.496806144714355,,,,,,
