,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.08681620657444,0.07240692526102066,16.345905303955078,0.08776217773556709,0.0008116270713719529,0.07294464707374573,0.0011159975625687094,16.434806537628173,0.2573270246481135
1,0.08809302002191544,0.07364822179079056,16.57946014404297,,,,,,
2,0.08788210898637772,0.0734720379114151,16.566848754882812,,,,,,
3,0.08609506487846375,0.07059916853904724,15.991801261901855,,,,,,
4,0.08884687721729279,0.07129886746406555,15.908931732177734,,,,,,
5,0.0871015191078186,0.07400497049093246,16.61226463317871,,,,,,
6,0.08874675631523132,0.07312040776014328,16.561166763305664,,,,,,
7,0.0881146788597107,0.07299444824457169,16.479631423950195,,,,,,
8,0.08792925626039505,0.07396399229764938,16.659395217895508,,,,,,
9,0.08799628913402557,0.07393743097782135,16.64266014099121,,,,,,
