,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.0478917621076107,0.040755655616521835,6.933564186096191,0.05735442787408829,0.006307254720756602,0.04750677682459355,0.004719907155539498,8.103978967666626,0.8394515310070408
1,0.055648114532232285,0.04626443609595299,8.006525039672852,,,,,,
2,0.05315785855054855,0.04424178600311279,7.5231451988220215,,,,,,
3,0.05207324028015137,0.04311719909310341,7.256538391113281,,,,,,
4,0.06646041572093964,0.053296010941267014,9.031330108642578,,,,,,
5,0.05975223332643509,0.049194224178791046,8.398969650268555,,,,,,
6,0.059279799461364746,0.04936087876558304,8.511061668395996,,,,,,
7,0.0644739642739296,0.0531659796833992,9.112285614013672,,,,,,
8,0.049761757254600525,0.04176611453294754,7.019454002380371,,,,,,
9,0.06504513323307037,0.05390548333525658,9.246915817260742,,,,,,
