,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.04247623682022095,0.033283282071352005,4.773563861846924,0.03574032466858625,0.004811154873610122,0.027760634385049342,0.0037312134445523304,4.002152991294861,0.5277238443347099
1,0.04320989176630974,0.0327894389629364,4.727847099304199,,,,,,
2,0.0310481246560812,0.024152450263500214,3.4928665161132812,,,,,,
3,0.037934284657239914,0.029770726338028908,4.2881622314453125,,,,,,
4,0.03709859773516655,0.029249966144561768,4.223545551300049,,,,,,
5,0.03831636533141136,0.03026808425784111,4.34195613861084,,,,,,
6,0.03668650984764099,0.02788805030286312,4.015690803527832,,,,,,
7,0.029030241072177887,0.022716855630278587,3.2912521362304688,,,,,,
8,0.031181994825601578,0.024007759988307953,3.4826388359069824,,,,,,
9,0.030420999974012375,0.023479729890823364,3.3840067386627197,,,,,,
