,MSE,RMSE,RMSE mean,RMSE std
0,0.006275440566241741,0.07921767979860306,0.04211273742839694,0.036009632516652346
1,0.006103104911744595,0.07812236994504929,,
2,0.0059276120737195015,0.0769909918308258,,
3,0.006360969040542841,0.07975567877292633,,
4,0.0056819068267941475,0.0753784254193306,,
5,0.005854716524481773,0.07651612162590027,,
6,0.005788622889667749,0.0760829970240593,,
7,0.006238637957721949,0.0789850503206253,,
8,0.006406821310520172,0.08004261553287506,,
9,0.0060882545076310635,0.07802727073431015,,
