,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.08635777235031128,0.07148490846157074,18.815067291259766,0.0878584086894989,0.006010273133604614,0.07326846607029439,0.00563519833004106,19.447943878173827,1.3991942328324123
1,0.09610336273908615,0.08107946068048477,21.319406509399414,,,,,,
2,0.08528762310743332,0.07004742324352264,18.43082618713379,,,,,,
3,0.09545982629060745,0.08078324794769287,21.351003646850586,,,,,,
4,0.07564188539981842,0.061760853976011276,16.859668731689453,,,,,,
5,0.0847562849521637,0.07110582292079926,18.607513427734375,,,,,,
6,0.09105096012353897,0.0771893709897995,20.146177291870117,,,,,,
7,0.08837666362524033,0.0732244923710823,19.62582778930664,,,,,,
8,0.08242365717887878,0.0688876286149025,18.43680191040039,,,,,,
9,0.09312605112791061,0.07712145149707794,20.88714599609375,,,,,,
