,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.08299484103918076,0.07014790922403336,19.656169891357422,0.08334005996584892,0.0015178275205628348,0.07053740695118904,0.0013071328850597474,19.733899879455567,0.4216914744304042
1,0.08498194068670273,0.07209227234125137,20.246362686157227,,,,,,
2,0.08001881837844849,0.06761074811220169,18.864343643188477,,,,,,
3,0.08305253833532333,0.07036729156970978,19.358156204223633,,,,,,
4,0.08305750787258148,0.07039544731378555,19.734844207763672,,,,,,
5,0.08396577090024948,0.07096502929925919,19.89463996887207,,,,,,
6,0.08409580588340759,0.07110748440027237,19.945444107055664,,,,,,
7,0.08149977773427963,0.06906874477863312,19.31748390197754,,,,,,
8,0.08496358245611191,0.07179220020771027,20.117040634155273,,,,,,
9,0.08477001637220383,0.07182694226503372,20.204513549804688,,,,,,
