,RMSE,MAE,MAPE,RMSE mean,RMSE std,MAE mean,MAE std,MAPE mean,MAPE std
0,0.07893828302621841,0.06495963037014008,14.741415023803711,0.08174102157354354,0.0031390919133970517,0.06702809184789657,0.0033495082922793615,15.068916511535644,0.48499981910461154
1,0.08220343291759491,0.06642591208219528,15.184144020080566,,,,,,
2,0.08105047792196274,0.06492887437343597,14.891002655029297,,,,,,
3,0.07980669289827347,0.06507375091314316,14.808185577392578,,,,,,
4,0.08892641216516495,0.07515043020248413,16.306062698364258,,,,,,
5,0.08194229006767273,0.06598853319883347,15.099474906921387,,,,,,
6,0.07908251136541367,0.06427355110645294,14.660660743713379,,,,,,
7,0.08164321631193161,0.06983406841754913,15.238216400146484,,,,,,
8,0.08561301976442337,0.06971502304077148,15.28859806060791,,,,,,
9,0.07820387929677963,0.06393114477396011,14.471405029296875,,,,,,
